,AQSID,SiteName,Status,EPARegion,Latitude,Longitude,Elevation,GMTOffset,CountryCode,StateName,ValidDate,ValidTime,DataSource,ReportingArea_PipeDelimited,OZONE_AQI,PM10_AQI,PM25_AQI,NO2_AQI,OZONE_Measured,PM10_Measured,PM25_Measured,NO2_Measured,PM10,PM10_Unit,PM25,PM25_Unit,NO2,NO2_Unit,SO2,SO2_Unit,OZONE,OZONE_Unit,CO,CO_Unit
0,530350007,Bremerton-Spruce Ave,Active,R10,47.592675,-122.627397,77.8,-8,US,WA,3/26/2018,17:00,Washington Department of Ecology,Bremerton-Silverdale-Bainbridge Island,,,4,,0,0,1,0,,,,,,,,,,,,
2,483951076,Franklin Oak Grove,Active,R6,31.168889,-96.481944,136.9,0,US,TX,3/26/2018,17:00,Texas Commission on Environmental Quality,,,,,,0,0,0,0,,,,,,,,,,,,
4,80699991,Rocky Mtn NP Collocated,Active,R3,40.2778,-105.5453,2744.7,0,US,CO,3/26/2018,17:00,EPA Office of Atmospheric Programs,,,,,,0,0,0,0,,,,,,,,,,,,
5,370870008,WNVLELSC,Active,R4,35.50716,-82.963379,791.8,-5,US,NC,3/26/2018,17:00,North Carolina DEQ - Division of Air Quality,,43,,,,1,0,0,0,,,,,,,,,,,,
6,530639995,Colbert-Greenbluff,Active,R10,47.808226,-117.34327,577.4,-8,US,WA,3/26/2018,17:00,Washington Department of Ecology,,,,17,,0,0,1,0,,,,,,,,,,,,
7,410650007,The Dalles - Cherry Heights,Active,R10,45.602419,-121.203387,86.3,-8,US,OR,3/26/2018,17:00,Oregon Dept. of Environmental Quality,The Dalles,,,15,,0,0,1,0,,,,,,,,,,,,
8,530639997,Spokane-E Broadway Ave (US),Active,R10,47.663963,-117.257652,611.2,-8,US,WA,3/26/2018,17:00,Washington Department of Ecology,Spokane,,,5,,0,0,1,0,,,,,,,,,,,,
9,191138040,PUBLIC HEALTH 4,Inactive,R7,41.97677,-91.68766,0,-6,US,IA,3/26/2018,17:00,Linn Co. Public Health ,,,,,,0,0,1,0,,,,,,,,,,,,
10,530639996,Liberty Lake-E Valeyway (US),Inactive,R10,47.660568,-117.084503,650.3,-8,US,WA,3/26/2018,17:00,Washington Department of Ecology,Spokane,,,,,0,0,1,0,,,,,,,,,,,,
11,530639999,Airway Heights-West 12th (US),Active,R10,47.645351,-117.589027,729.3,-8,US,WA,3/26/2018,17:00,Washington Department of Ecology,Spokane,,,17,,0,0,1,0,,,,,,,,,,,,
